"total final consumption in World",Value,Year,Units
"Industry",78041488,2000, TJ
"Industry",77867151,2001, TJ
"Industry",78060027,2002, TJ
"Industry",81414744,2003, TJ
"Industry",87525661,2004, TJ
"Industry",93281337,2005, TJ
"Industry",97785283,2006, TJ
"Industry",101742175,2007, TJ
"Industry",102790413,2008, TJ
"Industry",100171205,2009, TJ
"Industry",109706955,2010, TJ
"Industry",113242546,2011, TJ
"Industry",115049813,2012, TJ
"Industry",115676520,2013, TJ
"Industry",117308432,2014, TJ
"Industry",115984770,2015, TJ
"Industry",115810914,2016, TJ
"Industry",116770083,2017, TJ
"Industry",118521323,2018, TJ
"Industry",119027464,2019, TJ
"Industry",118450645,2020, TJ
"Industry",124601786,2021, TJ
"Industry",126196753,2022, TJ
"Industry",128950177,2023, TJ
"Transport",82290273,2000, TJ
"Transport",82744266,2001, TJ
"Transport",84983738,2002, TJ
"Transport",86828984,2003, TJ
"Transport",90846802,2004, TJ
"Transport",92967987,2005, TJ
"Transport",95270693,2006, TJ
"Transport",98558548,2007, TJ
"Transport",99127390,2008, TJ
"Transport",97396323,2009, TJ
"Transport",101769741,2010, TJ
"Transport",103532207,2011, TJ
"Transport",104359188,2012, TJ
"Transport",107285202,2013, TJ
"Transport",109178902,2014, TJ
"Transport",112673292,2015, TJ
"Transport",115168296,2016, TJ
"Transport",117957993,2017, TJ
"Transport",121172343,2018, TJ
"Transport",122652910,2019, TJ
"Transport",106713212,2020, TJ
"Transport",115210842,2021, TJ
"Transport",119728497,2022, TJ
"Transport",122904119,2023, TJ
"Residential",70748578,2000, TJ
"Residential",71224256,2001, TJ
"Residential",71548629,2002, TJ
"Residential",73217352,2003, TJ
"Residential",73839106,2004, TJ
"Residential",74131441,2005, TJ
"Residential",74331257,2006, TJ
"Residential",74522071,2007, TJ
"Residential",75285350,2008, TJ
"Residential",75126127,2009, TJ
"Residential",77188119,2010, TJ
"Residential",76432274,2011, TJ
"Residential",75990855,2012, TJ
"Residential",78268220,2013, TJ
"Residential",77894909,2014, TJ
"Residential",78086959,2015, TJ
"Residential",78965793,2016, TJ
