Figure 1. Global Atmospheric Concentrations of Carbon Dioxide Over Time,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,
Data source: Compilation of 8 underlying datasets,,,,,,,,
Web update: June 2024,,,,,,,,
Units: parts per million (ppm) of CO2,,,,,,,,
,,,,,,,,
Year,Antarctic Ice Cores,Mauna Loa,Barrow,Cape Matatula,South Pole,Cape Grim,Lampedusa,Shetland
Ice core measurements,,,,,,,,
-803718.8684,207.2854401,,,,,,,
-803182.4423,202.2268391,,,,,,,
-802572.6746,204.861938,,,,,,,
-802059.8706,207.4986455,,,,,,,
-801975.2844,202.9217232,,,,,,,
-801759.2524,202.6471059,,,,,,,
-800922.0874,198.6572142,,,,,,,
-799286.0591,198.6836109,,,,,,,
-796731.2979,200.4894559,,,,,,,
-795428.8182,197.9087863,,,,,,,
-794902.5909,198.7924036,,,,,,,
-793737.3182,204.6175064,,,,,,,
-793172.4545,208.7893628,,,,,,,
-791902.7583,218.3926417,,,,,,,
-791569.3889,213.3577596,,,,,,,
-790667.3012,214.4503514,,,,,,,
-790080.7836,224.6857623,,,,,,,
-789106.8827,230.5501347,,,,,,,
-788689.4052,227.3777503,,,,,,,
-788003.0091,235.4857431,,,,,,,
-787544.0409,238.6409536,,,,,,,
-786741.8715,257.0184549,,,,,,,
-786529.24,257.1989367,,,,,,,
-785853.5691,265.9973287,,,,,,,
-785405.5127,269.3559593,,,,,,,
-784613.257,264.3450291,,,,,,,
-784239.6018,262.2298083,,,,,,,
-783569.0509,259.6646238,,,,,,,
-783084.0824,255.8455403,,,,,,,
-782311.7559,260.9181501,,,,,,,
-781248.5297,255.0181764,,,,,,,
-780778.4497,257.4363037,,,,,,,
-779936.6818,251.50919,,,,,,,
-779612.8318,257.2103392,,,,,,,
-778769.4364,252.5212569,,,,,,,
-778238.9227,254.4321063,,,,,,,
-777417.5455,254.6895621,,,,,,,
-777107.9836,254.9270444,,,,,,,
-776282.7918,252.4555389,,,,,,,
-775731.7497,247.3032103,,,,,,,
-774832.697,248.9234726,,,,,,,
-774382.2588,245.3180553,,,,,,,
-773588.0111,241.7410825,,,,,,,
-773008.8082,238.3850776,,,,,,,
-772094.1364,239.2312024,,,,,,,
-771734.4691,237.7794476,,,,,,,
-771299.8182,246.0305818,,,,,,,
-771045.6364,243.854752,,,,,,,
-770787.9595,246.494568,,,,,,,
-770524.5636,243.8852524,,,,,,,
-770225.2645,239.7120056,,,,,,,
-769862.6667,234.2405482,,,,,,,
-769569.3333,236.3189003,,,,,,,
-769070.6667,229.5642363,,,,,,,
-768649.1467,230.6269034,,,,,,,
-767701.4236,225.8663567,,,,,,,
-767111.3844,221.6409365,,,,,,,
-766167.2576,223.8179649,,,,,,,
-765797.1624,224.864666,,,,,,,
-764858.9121,230.6229188,,,,,,,
-764238.5045,232.1154555,,,,,,,
-763901.4848,229.4074875,,,,,,,
-763636.6364,233.6609057,,,,,,,
-763231.8166,222.9260864,,,,,,,
-762726.8824,223.8929502,,,,,,,
-761820.5842,219.9481577,,,,,,,
-761151.8036,213.9998029,,,,,,,
-760216.043,214.694008,,,,,,,
-759914.4882,216.6408086,,,,,,,
-758989.9418,222.7085789,,,,,,,
-758566.0552,225.6158254,,,,,,,
-758158.2727,225.3736676,,,,,,,
-757928.2121,223.0236555,,,,,,,
-757611.8788,226.9430115,,,,,,,
-757185.6915,222.7200859,,,,,,,
-756412.4158,218.3519527,,,,,,,
-755835.4509,213.6113901,,,,,,,
-754900.6803,209.4450797,,,,,,,
-754616.1685,208.1036711,,,,,,,
-753636.8285,203.2996955,,,,,,,
-753164.5776,199.0460536,,,,,,,
-751984.6545,203.9027966,,,,,,,
-751539.0691,195.4338892,,,,,,,
-750615.8818,197.495726,,,,,,,
-750023.8682,193.5471714,,,,,,,
-749086.25,191.2960363,,,,,,,
-748756.4409,192.0759224,,,,,,,
-747864.1787,190.1748369,,,,,,,
-747312.9345,188.6788749,,,,,,,
-746386.8809,187.5437569,,,,,,,
-745990.1958,187.9522843,,,,,,,
-745227.0376,187.9198816,,,,,,,
-744669.9261,190.2415493,,,,,,,
