time,ohc_mean,ohc_min,ohc_max
19750616,-1.0488253414757022e+23,-1.6663777387952876e+23,-1.1746278227358582e+22
19750716,-1.0633292319263949e+23,-1.6720476206061597e+23,-1.3044390060627327e+22
19750816,-1.0793576713527958e+23,-1.6844714006582113e+23,-1.457066841859249e+22
19750916,-1.0934124452095486e+23,-1.6980486876828216e+23,-1.6397438859469826e+22
19751016,-1.1066072537150552e+23,-1.714040924923618e+23,-1.8320007056870819e+22
19751116,-1.1134759655992356e+23,-1.7238505755599638e+23,-1.955650054621289e+22
19760016,-1.1176653310662059e+23,-1.731880388611574e+23,-2.0473499107840087e+22
19760116,-1.1183537047680496e+23,-1.7359128516699267e+23,-2.112749795962798e+22
19760216,-1.1147956360700956e+23,-1.7351423007856822e+23,-2.1355663546074475e+22
19760316,-1.1081378521509629e+23,-1.731338575552404e+23,-2.1200907102679082e+22
19760416,-1.0996726145741799e+23,-1.726195524825942e+23,-2.0866044204185763e+22
19760516,-1.0929215614820647e+23,-1.7229927299029423e+23,-2.0652925800869257e+22
19760616,-1.0870082116976372e+23,-1.7200055523181026e+23,-2.0483282145955637e+22
19760716,-1.0765129810924165e+23,-1.712117752774742e+23,-2.008242481207272e+22
19760816,-1.0637551403455549e+23,-1.7017439362130754e+23,-1.95137570697995e+22
19760916,-1.0542530198862641e+23,-1.6944096440759174e+23,-1.8886780754025754e+22
19761016,-1.0450316151718466e+23,-1.6868737858314372e+23,-1.8395935307138488e+22
19761116,-1.0334273643388364e+23,-1.6763324353636325e+23,-1.8044561930936251e+22
19770016,-1.0232843354906743e+23,-1.6671568615308227e+23,-1.7730429852127655e+22
19770116,-1.0150338757060206e+23,-1.6597425554402852e+23,-1.7307871172840317e+22
19770216,-1.0158195046418173e+23,-1.6613529676070392e+23,-1.801519902431575e+22
19770316,-1.0201374628901477e+23,-1.666411770996472e+23,-1.9035879081264303e+22
19770416,-1.0270827975171884e+23,-1.6733272884162792e+23,-2.013873237996381e+22
19770516,-1.0346187912449575e+23,-1.680013677699045e+23,-2.142755544517611e+22
19770616,-1.0396850495929733e+23,-1.6838020906935903e+23,-2.2569032552529875e+22
19770716,-1.0456188663612073e+23,-1.6883574366806793e+23,-2.377895630527033e+22
19770816,-1.057350636242366e+23,-1.6986892796938188e+23,-2.547610714407244e+22
19770916,-1.0679356611181573e+23,-1.7077843141532924e+23,-2.7008910279647743e+22
19771016,-1.0796003305549181e+23,-1.717873623314499e+23,-2.8347446704646744e+22
19771116,-1.0949039724792391e+23,-1.731076526102086e+23,-2.9961556232869723e+22
19780016,-1.1127940112157106e+23,-1.746744849445683e+23,-3.2070952413987498e+22
19780116,-1.1281774252125813e+23,-1.7597146008805612e+23,-3.4311709964336387e+22
19780216,-1.141833580399766e+23,-1.7700017831973957e+23,-3.629062335345036e+22
19780316,-1.155494891833224e+23,-1.7797449907272393e+23,-3.827687479520718e+22
19780416,-1.1743894209365836e+23,-1.7943882947956468e+23,-4.084636209195685e+22
19780516,-1.191282379604054e+23,-1.8071302391493736e+23,-4.316362547922561e+22
19780616,-1.2067154409079167e+23,-1.819276507392387e+23,-4.516939364526761e+22
19780716,-1.2202034755951116e+23,-1.829609251125452e+23,-4.691457077667101e+22
19780816,-1.2307407397968544e+23,-1.8364423376600798e+23,-4.856795066156974e+22
19780916,-1.2437561881312515e+23,-1.8459419454860786e+23,-5.0855320468061914e+22
19781016,-1.2581980728346248e+23,-1.856402261184588e+23,-5.368182444254593e+22
19781116,-1.2777055076949722e+23,-1.8716204497454297e+23,-5.689517580307205e+22
19790016,-1.2937868884361928e+23,-1.8833191502574747e+23,-5.958020201001198e+22
19790116,-1.3134986193358369e+23,-1.8991077947711165e+23,-6.258244563680523e+22
19790216,-1.3306505379842807e+23,-1.912136303169133e+23,-6.53516032130841e+22
19790316,-1.346527258645235e+23,-1.9239162035824597e+23,-6.800498037364269e+22
19790416,-1.3579605177458427e+23,-1.931784487527435e+23,-7.0162613296819346e+22
19790516,-1.367757655881224e+23,-1.9366149884397574e+23,-7.208778579452986e+22
