time,ohc_mean,ohc_min,ohc_max
19750616,-3.703930419495423e+21,-3.5383143524935578e+22,4.520457426435676e+22
19750716,-3.8638567325530603e+21,-3.554323898568922e+22,4.4949612353952395e+22
19750816,-4.012859377064526e+21,-3.569607745859331e+22,4.4700303211680326e+22
19750916,-4.1556830828872393e+21,-3.585624460164102e+22,4.449055744153477e+22
19751016,-4.367597711553345e+21,-3.609200691623396e+22,4.422315433715981e+22
19751116,-4.6276578093258763e+21,-3.6387629951174e+22,4.388893695461307e+22
19760016,-4.881808696497338e+21,-3.6723524173981987e+22,4.35977897471027e+22
19760116,-5.143841070666681e+21,-3.7077157512772233e+22,4.331038428028273e+22
19760216,-5.451271267809794e+21,-3.7491902446706083e+22,4.29549282971933e+22
19760316,-5.824767770286554e+21,-3.8000514594123324e+22,4.252792287622389e+22
19760416,-6.225834296372161e+21,-3.855801200194578e+22,4.207348640522412e+22
19760516,-6.672898712551884e+21,-3.917089223853584e+22,4.1549413587936105e+22
19760616,-7.110950543922314e+21,-3.9741348941936045e+22,4.099350876553188e+22
19760716,-7.553710682288175e+21,-4.029978778973061e+22,4.041581327633061e+22
19760816,-7.990036190096443e+21,-4.085591854271614e+22,3.9843092012917785e+22
19760916,-8.3870508651273e+21,-4.137213783285397e+22,3.930406443011713e+22
19761016,-8.707142669912786e+21,-4.18257418885226e+22,3.885313626322709e+22
19761116,-9.018448045650263e+21,-4.226602129409372e+22,3.842994951944172e+22
19770016,-9.349142637508471e+21,-4.26874553870241e+22,3.798385746795154e+22
19770116,-9.701889217532086e+21,-4.31188289243321e+22,3.7503073813231758e+22
19770216,-1.0039886508776065e+22,-4.35285829316289e+22,3.7047498306826246e+22
19770316,-1.0363538896956946e+22,-4.390275249706997e+22,3.6597711614791765e+22
19770416,-1.0683309032139047e+22,-4.42528157949056e+22,3.6126724790461386e+22
19770516,-1.1004558900038715e+22,-4.4563389279408635e+22,3.563551849265398e+22
19770616,-1.1333476446543955e+22,-4.488191762205348e+22,3.512660910766133e+22
19770716,-1.1682429419421457e+22,-4.521185883675403e+22,3.4606602290236886e+22
19770816,-1.208101496876734e+22,-4.558302525184358e+22,3.4023499854383e+22
19770916,-1.2500686484158563e+22,-4.597263690980697e+22,3.3428072192248904e+22
