time,ohc_mean,ohc_min,ohc_max
19750616,-1.0128145374631496e+23,-1.354921383633302e+23,-5.709948835556715e+22
19750716,-1.025729471083363e+23,-1.3527606541100816e+23,-5.814331466280058e+22
19750816,-1.0402788315647436e+23,-1.3572006629107136e+23,-5.942121931366627e+22
19750916,-1.0529063447061384e+23,-1.3625522453119217e+23,-6.103848783555287e+22
19751016,-1.0639800596810953e+23,-1.3695827996782111e+23,-6.2693600105108265e+22
19751116,-1.0682489286934875e+23,-1.369761224789448e+23,-6.359608469103636e+22
19760016,-1.0698930112722556e+23,-1.3693822919168011e+23,-6.422159714928122e+22
19760116,-1.0679578625507703e+23,-1.3672337071005758e+23,-6.458780697768089e+22
19760216,-1.0613219984016242e+23,-1.3607329186644534e+23,-6.4460168959441706e+22
19760316,-1.0509386829977436e+23,-1.35268295951051e+23,-6.3879322076401195e+22
19760416,-1.038474594227827e+23,-1.3419771300783144e+23,-6.309086150233871e+22
19760516,-1.0272588154544246e+23,-1.3326530950837885e+23,-6.235412439469661e+22
19760616,-1.01696220335057e+23,-1.3239603521670292e+23,-6.162793284088197e+22
19760716,-1.0020272746930916e+23,-1.3105352342678285e+23,-6.06479683269646e+22
19760816,-9.848961161377299e+22,-1.2956299257850993e+23,-5.950528275371083e+22
19760916,-9.71422620571332e+22,-1.2850148664033932e+23,-5.833839258425976e+22
19761016,-9.590009136763085e+22,-1.2744773139712743e+23,-5.739621101941621e+22
19761116,-9.442796230249536e+22,-1.259534055155685e+23,-5.645406510806971e+22
19770016,-9.308153027921964e+22,-1.2461336244884415e+23,-5.569204554271949e+22
19770116,-9.19027204326348e+22,-1.2345892323116288e+23,-5.478714102259163e+22
19770216,-9.164266637719178e+22,-1.233737203804126e+23,-5.5038047441531536e+22
19770316,-9.174995495557467e+22,-1.2351690182216572e+23,-5.560797834967524e+22
19770416,-9.212311188663953e+22,-1.2394132105104912e+23,-5.623775346496741e+22
19770516,-9.25527079282346e+22,-1.2446524281009964e+23,-5.7032350568822155e+22
19770616,-9.272776442201037e+22,-1.2478635696953052e+23,-5.766260719397449e+22
19770716,-9.297068543339098e+22,-1.2506224748270324e+23,-5.835098164641813e+22
19770816,-9.374369783507165e+22,-1.2595787383699878e+23,-5.94633193382829e+22
19770916,-9.438137113821033e+22,-1.2670275870696674e+23,-6.03995321324203e+22
19771016,-9.513354148129548e+22,-1.2728392872328052e+23,-6.116000283479867e+22
19771116,-9.62507951523935e+22,-1.2846456237759445e+23,-6.235469410004947e+22
