"Figure 1. Cumulative Mass Balance of Greenland and Antarctica, 1992–2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: IMBIE, 2021; NASA, 2023",,,,,,
Web update: June 2024,,,,,,
Units: Billion metric tons,,,,,,
,,,,,,
Year,NASA - Antarctica land ice mass,NASA - Greenland land ice mass,IMBIE - Antarctica cumulative mass balance,IMBIE - Antarctica cumulative mass balance uncertainty,IMBIE - Greenland cumulative mass balance,IMBIE - Greenland cumulative mass balance uncertainty
1992,,,459.2434,33.0081,458.7701,16.2813
1992.0833,,,461.7684,46.6805,458.1229,23.0252
1992.1667,,,464.2934,57.1717,457.4756,28.2
1992.25,,,453.4055,64.5389,456.8284,32.5626
1992.3333,,,442.5175,71.1473,456.1812,36.406
1992.4167,,,437.8957,75.36,455.534,39.8808
1992.5,,,433.2738,79.3494,454.8867,43.0762
1992.5833,,,428.6519,83.1476,454.2395,46.0504
1992.6667,,,424.0301,86.7798,453.5923,48.8438
1992.75,,,419.4082,90.2659,452.9451,51.4859
1992.8333,,,414.7863,93.6223,452.2979,53.9989
1992.9167,,,410.1645,96.8624,451.6506,56.4
1993,,,403.4826,100.0886,449.6201,58.7057
1993.0833,,,396.8007,103.214,447.5895,60.9241
1993.1667,,,390.1188,106.2475,445.559,63.0646
1993.25,,,383.4369,109.1968,443.5284,65.1347
1993.3333,,,376.755,112.0684,441.4979,67.1411
1993.4167,,,370.0731,114.8684,439.4673,69.0892
1993.5,,,363.3912,117.6016,437.4367,70.9839
1993.5833,,,356.7093,120.2728,435.4062,72.8293
1993.6667,,,350.0274,122.8859,433.3756,74.6291
1993.75,,,343.3455,125.4446,431.3451,76.3865
1993.8333,,,336.6636,127.9521,429.3145,78.1043
1993.9167,,,329.9817,130.4115,427.284,79.7852
1994,,,322.5421,132.755,418.4284,81.4295
1994.0833,,,315.1026,135.0579,409.5729,83.0412
1994.1667,,,307.663,137.3222,400.7173,84.6222
1994.25,,,300.2235,139.5498,391.8617,86.1742
1994.3333,,,292.7839,141.7423,383.0062,87.6988
1994.4167,,,285.3444,143.9015,374.1506,89.1973
1994.5,,,277.9048,146.0287,365.2951,90.6711
1994.5833,,,270.4653,148.1254,356.4395,92.1212
1994.6667,,,263.0257,150.1928,347.584,93.5489
1994.75,,,255.5861,152.2321,338.7284,94.9552
1994.8333,,,248.1466,154.2445,329.8729,96.3409
1994.9167,,,240.707,156.231,321.0173,97.7069
1995,,,232.5603,158.2205,317.2554,100.2357
1995.0833,,,224.4137,160.1854,313.4935,102.7022
1995.1667,,,216.267,162.1264,309.7315,105.1109
1995.25,,,208.1203,164.0445,305.9696,107.4655
1995.3333,,,199.9736,165.9404,302.2077,109.7697
1995.4167,,,194.0434,167.808,298.4458,112.0265
1995.5,,,188.1132,169.6551,294.6838,114.2387
1995.5833,,,182.183,171.4822,290.9219,116.4089
1995.6667,,,176.2528,173.2901,287.16,118.5394
1995.75,,,170.3226,175.0793,283.3981,120.6323
1995.8333,,,164.3924,176.8504,279.6361,122.6894
1995.9167,,,158.4622,178.604,275.8742,124.7126
1996,,,152.7989,180.3629,276.538,126.7556
1996.0833,,,147.1356,182.1049,277.2018,128.7662
1996.1667,,,141.4723,183.8303,277.8656,130.7459
1996.25,,,135.809,185.5397,278.5294,132.696
1996.3333,,,130.1458,187.2334,279.1932,134.6179
1996.4167,,,124.4825,188.912,279.857,136.5127
1996.5,,,121.3747,190.5709,280.5207,138.3816
1996.5833,,,118.267,192.2155,281.1845,140.2256
1996.6667,,,115.1593,193.8462,281.8483,142.0457
1996.75,,,112.0516,195.4632,282.5121,143.8427
1996.8333,,,108.9439,197.067,283.1759,145.6175
1996.9167,,,105.8362,198.6578,283.8397,147.371
1997,,,105.2068,200.2037,283.4497,149.1765
1997.0833,,,104.5775,201.7376,283.0597,150.9604
1997.1667,,,103.9481,203.26,282.6697,152.7234
1997.25,,,103.3187,204.7711,282.2797,154.4663
1997.3333,,,102.6894,206.2712,281.8897,156.1898
1997.4167,,,102.06,207.7604,281.4997,157.8944
1997.5,,,101.4306,209.2389,281.1097,159.5809
1997.5833,,,100.8013,210.7072,280.7197,161.2497
1997.6667,,,100.1719,212.1652,280.3297,162.9014
1997.75,,,99.5426,213.6133,279.9397,164.5366
1997.8333,,,98.9132,215.0517,279.5497,166.1556
1997.9167,,,98.2838,216.4805,279.1597,167.759
1998,,,97.2014,217.9211,274.622,169.3477
1998.0833,,,96.119,219.3523,270.0844,170.9217
1998.1667,,,95.0366,220.7742,265.5467,172.4812
1998.25,,,93.9541,222.187,261.0091,174.0268
1998.3333,,,92.8717,223.5909,256.4715,175.5588
1998.4167,,,91.7893,224.9861,251.9338,177.0776
1998.5,,,90.7068,226.3726,247.3962,178.5834
1998.5833,,,89.6244,227.7507,242.8585,180.0766
1998.6667,,,88.542,229.1205,238.3209,181.5576
1998.75,,,87.4596,230.4821,233.7833,183.0266
1998.8333,,,86.3771,231.8358,229.2456,184.4838
1998.9167,,,85.2947,233.1816,224.708,185.9297
1999,,,83.5561,234.5509,218.5104,187.35
1999.0833,,,81.8175,235.9123,212.3127,188.7596
1999.1667,,,80.079,237.2659,206.1151,190.1588
1999.25,,,78.3404,238.6118,199.9175,191.5477
1999.3333,,,76.6018,239.9501,193.7199,192.9267
1999.4167,,,74.8632,241.281,187.5223,194.2959
1999.5,,,73.1247,242.6047,181.3247,195.6555
1999.5833,,,71.3861,243.9211,175.1271,197.0057
1999.6667,,,69.6475,245.2305,168.9295,198.3467
1999.75,,,67.9089,246.5329,162.7318,199.6787
1999.8333,,,66.1704,247.8285,156.5342,201.0019
1999.9167,,,64.4318,249.1173,150.3366,202.3164
2000,,,62.4183,250.3376,147.8814,203.5893
2000.0833,,,60.4047,251.5521,145.4261,204.8544
2000.1667,,,58.3912,252.7606,142.9708,206.1116
2000.25,,,56.3777,253.9635,140.5156,207.3613
2000.3333,,,54.3641,255.1606,138.0603,208.6035
2000.4167,,,52.3506,256.3522,135.605,209.8383
2000.5,,,50.3371,257.5383,133.1498,211.0659
2000.5833,,,48.3236,258.7189,130.6945,212.2864
2000.6667,,,46.31,259.8941,128.2393,213.4999
2000.75,,,44.2965,261.0641,125.784,214.7065
2000.8333,,,42.283,262.2289,123.3287,215.9064
2000.9167,,,40.2695,263.3884,120.8735,217.0997
2001,,,37.6461,264.556,114.4704,218.343
2001.0833,,,35.0227,265.7184,108.0673,219.5793
2001.1667,,,32.3994,266.8757,101.6642,220.8086
2001.25,,,29.776,268.028,95.2611,222.0311
2001.3333,,,27.1527,269.1754,88.8579,223.247
2001.4167,,,24.5293,270.318,82.4548,224.4562
2001.5,,,21.906,271.4557,76.0517,225.659
2001.5833,,,19.2826,272.5887,69.6486,226.8554
2001.6667,,,16.6593,273.7169,63.2455,228.0455
2001.75,,,14.0359,274.8406,56.8424,229.2294
2001.8333,,,11.4126,275.9597,50.4393,230.4073
2001.9167,,,8.7892,277.0742,44.0362,231.5792
2002,,,6.5919,278.1597,33.0272,233.4732
2002.0833,,,4.3946,279.2409,22.0181,235.352
2002.1667,,,2.1973,280.318,11.009,237.216
2002.25,,,0,281.3909,0,239.0654
2002.29,0,0,,,,
2002.3333,,,-2.1973,282.4598,-11.0091,240.9006
2002.35,18.5,67.31,,,,
2002.4167,,,-5.2146,283.5204,-22.0182,242.722
2002.5,,,-8.2319,284.5771,-33.0272,244.5297
2002.5833,,,-11.3074,285.5977,-44.0363,246.3242
2002.62,-60.48,-220.59,,,,
2002.6667,,,-14.3829,286.6146,-55.0453,248.1058
